Serial,Symbol,Company Name,Screener Stock Symbol,Screener Stock Url
63,TECHM,Tech Mahindra Limited,TECHM,https://www.screener.in/company/TECHM/consolidated/
64,AMBUJACEM,Ambuja Cements Limited,AMBUJACEM,https://www.screener.in/company/AMBUJACEM/consolidated/
65,INDUSINDBK,IndusInd Bank Limited,INDUSINDBK,https://www.screener.in/company/INDUSINDBK/
66,CIPLA,Cipla Limited,CIPLA,https://www.screener.in/company/CIPLA/consolidated/
67,GAIL,GAIL (India) Limited,GAIL,https://www.screener.in/company/GAIL/consolidated/
68,RECLTD,REC Limited,RECLTD,https://www.screener.in/company/RECLTD/consolidated/
69,BRITANNIA,Britannia Industries Limited,BRITANNIA,https://www.screener.in/company/BRITANNIA/consolidated/
70,UNIONBANK,Union Bank of India,UNIONBANK,https://www.screener.in/company/UNIONBANK/consolidated/
71,ADANIENSOL,Adani Energy Solutions Limited,ADANIENSOL,https://www.screener.in/company/ADANIENSOL/consolidated/
72,IOB,Indian Overseas Bank,IOB,https://www.screener.in/company/IOB/
73,LODHA,Macrotech Developers Limited,LODHA,https://www.screener.in/company/LODHA/consolidated/
74,EICHERMOT,Eicher Motors Limited,EICHERMOT,https://www.screener.in/company/EICHERMOT/consolidated/
75,CANBK,Canara Bank,CANBK,https://www.screener.in/company/CANBK/consolidated/
76,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM,https://www.screener.in/company/TATACONSUM/consolidated/
77,DRREDDY,Dr. Reddy's Laboratories Limited,DRREDDY,https://www.screener.in/company/DRREDDY/consolidated/
78,TVSMOTOR,TVS Motor Company Limited,TVSMOTOR,https://www.screener.in/company/TVSMOTOR/consolidated/
79,ZYDUSLIFE,Zydus Lifesciences Limited,ZYDUSLIFE,https://www.screener.in/company/ZYDUSLIFE/consolidated/
80,ATGL,Adani Total Gas Limited,ATGL,https://www.screener.in/company/ATGL/consolidated/
81,VEDL,Vedanta Limited,VEDL,https://www.screener.in/company/VEDL/consolidated/
82,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,CHOLAFIN,https://www.screener.in/company/CHOLAFIN/consolidated/
83,HAVELLS,Havells India Limited,HAVELLS,https://www.screener.in/company/HAVELLS/consolidated/
84,HEROMOTOCO,Hero MotoCorp Limited,HEROMOTOCO,https://www.screener.in/company/HEROMOTOCO/consolidated/
85,DABUR,Dabur India Limited,DABUR,https://www.screener.in/company/DABUR/consolidated/
87,MANKIND,Mankind Pharma Limited,MANKIND,https://www.screener.in/company/MANKIND/
88,BAJAJHLDNG,Bajaj Holdings & Investment Limited,BAJAJHLDNG,https://www.screener.in/company/BAJAJHLDNG/consolidated/
89,DIVISLAB,Divi's Laboratories Limited,DIVISLAB,https://www.screener.in/company/DIVISLAB/consolidated/
90,APOLLOHOSP,Apollo Hospitals Enterprise Limited,APOLLOHOSP,https://www.screener.in/company/APOLLOHOSP/consolidated/
91,NHPC,NHPC Limited,NHPC,https://www.screener.in/company/NHPC/consolidated/
92,SHRIRAMFIN,Shriram Finance Limited,SHRIRAMFIN,https://www.screener.in/company/SHRIRAMFIN/consolidated/
93,BOSCHLTD,Bosch Limited,BOSCHLTD,https://www.screener.in/company/BOSCHLTD/
94,TORNTPHARM,Torrent Pharmaceuticals Limited,TORNTPHARM,https://www.screener.in/company/TORNTPHARM/consolidated/
95,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,ICICIPRULI,https://www.screener.in/company/ICICIPRULI/consolidated/
97,JSWENERGY,JSW Energy Limited,JSWENERGY,https://www.screener.in/company/JSWENERGY/consolidated/
98,JINDALSTEL,Jindal Steel & Power Limited,JINDALSTEL,https://www.screener.in/company/JINDALSTEL/consolidated/
99,BHEL,Bharat Heavy Electricals Limited,BHEL,https://www.screener.in/company/BHEL/consolidated/
100,INDHOTEL,The Indian Hotels Company Limited,INDHOTEL,https://www.screener.in/company/INDHOTEL/consolidated/
101,CUMMINSIND,Cummins India Limited,CUMMINSIND,https://www.screener.in/company/CUMMINSIND/
102,ICICIGI,ICICI Lombard General Insurance Company Limited,ICICIGI,https://www.screener.in/company/ICICIGI/
103,CGPOWER,CG Power and Industrial Solutions Limited,CGPOWER,https://www.screener.in/company/CGPOWER/consolidated/
104,MCDOWELL-N,United Spirits Limited,UNITDSPR,https://www.screener.in/company/UNITDSPR/consolidated/
106,MAXHEALTH,Max Healthcare Institute Limited,MAXHEALTH,https://www.screener.in/company/MAXHEALTH/consolidated/
108,MOTHERSON,Samvardhana Motherson International Limited,MOTHERSON,https://www.screener.in/company/MOTHERSON/consolidated/
109,INDUSTOWER,Indus Towers Limited,INDUSTOWER,https://www.screener.in/company/INDUSTOWER/consolidated/
110,POLYCAB,Polycab India Limited,POLYCAB,https://www.screener.in/company/POLYCAB/consolidated/
111,OFSS,Oracle Financial Services Software Limited,OFSS,https://www.screener.in/company/OFSS/consolidated/
112,SRF,SRF Limited,SRF,https://www.screener.in/company/SRF/consolidated/
113,IRCTC,Indian Railway Catering And Tourism Corporation Limited,IRCTC,https://www.screener.in/company/IRCTC/
114,COLPAL,Colgate Palmolive (India) Limited,COLPAL,https://www.screener.in/company/COLPAL/
115,LUPIN,Lupin Limited,LUPIN,https://www.screener.in/company/LUPIN/consolidated/
116,NAUKRI,Info Edge (India) Limited,NAUKRI,https://www.screener.in/company/NAUKRI/consolidated/
